County,Year,MonthlyRentForecast
Essex,2029,940.7659290185542
Essex,2030,964.285077244018
Franklin,2025,693.7541666666666
Franklin,2026,711.0980208333333
Franklin,2027,728.8754713541665
Franklin,2028,747.0973581380206
Franklin,2029,765.774792091471
Franklin,2030,784.9191618937577
Fulton,2025,818.2916666666666
Fulton,2026,838.7489583333333
Fulton,2027,859.7176822916664
Fulton,2028,881.210624348958
Fulton,2029,903.2408899576819
Fulton,2030,925.8219122066239
Genesee,2025,766.7854166666666
Genesee,2026,785.9550520833333
Genesee,2027,805.6039283854165
Genesee,2028,825.7440265950518
Genesee,2029,846.387627259928
Genesee,2030,867.5473179414262
Greene,2025,1042.6812499999999
Greene,2026,1068.74828125
Greene,2027,1095.4669882812495
Greene,2028,1122.8536629882808
Greene,2029,1150.9250045629876
Greene,2030,1179.6981296770623
Hamilton,2025,1035.50625
Hamilton,2026,1061.3939062499999
Hamilton,2027,1087.9287539062498
Hamilton,2028,1115.1269727539059
Hamilton,2029,1143.0051470727533
Hamilton,2030,1171.5802757495721
Herkimer,2025,859.8895833333332
Herkimer,2026,881.3868229166666
Herkimer,2027,903.421493489583
Herkimer,2028,926.0070308268225
Herkimer,2029,949.157206597493
Herkimer,2030,972.8861367624302
Jefferson,2025,915.0687499999999
Jefferson,2026,937.9454687499999
Jefferson,2027,961.3941054687497
Jefferson,2028,985.4289581054684
Jefferson,2029,1010.064682058105
Jefferson,2030,1035.3162991095576
Kings,2025,2242.272916666667
Kings,2026,2298.3297395833333
Kings,2027,2355.787983072916
Kings,2028,2414.6826826497386
Kings,2029,2475.049749715982
Kings,2030,2536.9259934588813
Lewis,2025,753.4604166666667
Lewis,2026,772.2969270833333
Lewis,2027,791.6043502604165
Lewis,2028,811.3944590169268
Lewis,2029,831.6793204923499
Lewis,2030,852.4713035046585
Livingston,2025,882.3541666666666
Livingston,2026,904.4130208333333
Livingston,2027,927.0233463541664
Livingston,2028,950.1989300130205
Livingston,2029,973.9539032633459
Livingston,2030,998.3027508449295
Madison,2025,860.4020833333332
Madison,2026,881.9121354166666
Madison,2027,903.959938802083
Madison,2028,926.558937272135
Madison,2029,949.7229107039383
Madison,2030,973.4659834715367
Monroe,2025,1089.4041666666665
Monroe,2026,1116.639270833333
Monroe,2027,1144.5552526041663
Monroe,2028,1173.1691339192703
Monroe,2029,1202.4983622672519
Monroe,2030,1232.5608213239332
Montgomery,2025,787.3708333333333
Montgomery,2026,807.0551041666665
Montgomery,2027,827.231481770833
Montgomery,2028,847.9122688151037
Montgomery,2029,869.1100755354813
Montgomery,2030,890.8378274238682
Nassau,2025,1904.3645833333333
Nassau,2026,1951.9736979166667
Nassau,2027,2000.7730403645828
Nassau,2028,2050.792366373697
Nassau,2029,2102.0621755330394
Nassau,2030,2154.613729921365
New York,2025,2679.60625
New York,2026,2746.5964062499997
New York,2027,2815.261316406249
New York,2028,2885.642849316405
New York,2029,2957.783920549315
New York,2030,3031.7285185630476
Niagara,2025,861.0854166666667
Niagara,2026,882.6125520833333
Niagara,2027,904.6778658854164
Niagara,2028,927.2948125325518
Niagara,2029,950.4771828458654
Niagara,2030,974.239112417012
Oneida,2025,972.2979166666667
Oneida,2026,996.6053645833333
Oneida,2027,1021.5204986979164
Oneida,2028,1047.0585111653643
Oneida,2029,1073.2349739444983
Oneida,2030,1100.0658482931105
Onondaga,2025,1030.2958333333331
Onondaga,2026,1056.0532291666666
Onondaga,2027,1082.454559895833
Onondaga,2028,1109.5159238932288
Onondaga,2029,1137.2538219905593
Onondaga,2030,1165.6851675403232
Ontario,2025,1089.4041666666665
Ontario,2026,1116.639270833333
Ontario,2027,1144.5552526041663
Ontario,2028,1173.1691339192703
Ontario,2029,1202.4983622672519
Ontario,2030,1232.5608213239332
Orange,2025,1375.3791666666664
Orange,2026,1409.7636458333332
Orange,2027,1445.007736979166
Orange,2028,1481.132930403645
Orange,2029,1518.161253663736
Orange,2030,1556.1152850053295
Orleans,2025,848.4437499999999
Orleans,2026,869.6548437499999
Orleans,2027,891.3962148437497
Orleans,2028,913.6811202148434
Orleans,2029,936.5231482202144
Orleans,2030,959.9362269257197
Oswego,2025,910.6270833333332
Oswego,2026,933.3927604166665
Oswego,2027,956.727579427083
Oswego,2028,980.64576891276
Oswego,2029,1005.1619131355789
Oswego,2030,1030.2909609639682
Otsego,2025,835.8020833333333
Otsego,2026,856.6971354166666
Otsego,2027,878.114563802083
Otsego,2028,900.067427897135
Otsego,2029,922.5691135945633
Otsego,2030,945.6333414344273
Putnam,2025,2292.4979166666667
Putnam,2026,2349.8103645833335
Putnam,2027,2408.555623697916
Putnam,2028,2468.7695142903635
Putnam,2029,2530.4887521476226
Putnam,2030,2593.750970951313
Queens,2025,2406.870833333333
Queens,2026,2467.0426041666665
Queens,2027,2528.7186692708324
Queens,2028,2591.936636002603
Queens,2029,2656.7350519026677
Queens,2030,2723.1534282002344
Rensselaer,2025,1056.2624999999998
Rensselaer,2026,1082.6690624999999
Rensselaer,2027,1109.7357890624996
Rensselaer,2028,1137.479183789062
Rensselaer,2029,1165.9161633837884
Rensselaer,2030,1195.0640674683832
Richmond,2025,2122.8604166666664
Richmond,2026,2175.9319270833334
Richmond,2027,2230.3302252604162
Richmond,2028,2286.0884808919263
Richmond,2029,2343.2406929142244
Richmond,2030,2401.8217102370795
Rockland,2025,2295.0604166666667
Rockland,2026,2352.436927083333
Rockland,2027,2411.2478502604163
Rockland,2028,2471.5290465169264
Rockland,2029,2533.3172726798493
Rockland,2030,2596.650204496845
St. Lawrence,2025,745.175
St. Lawrence,2026,763.8043749999999
St. Lawrence,2027,782.8994843749997
St. Lawrence,2028,802.4719714843746
St. Lawrence,2029,822.533770771484
St. Lawrence,2030,843.097115040771
Saratoga,2025,1203.6916666666664
Saratoga,2026,1233.7839583333332
Saratoga,2027,1264.628557291666
Saratoga,2028,1296.2442712239576
Saratoga,2029,1328.6503780045566
Saratoga,2030,1361.8666374546704
Schenectady,2025,1035.6770833333333
Schenectady,2026,1061.5690104166665
Schenectady,2027,1088.108235677083
Schenectady,2028,1115.3109415690099
Schenectady,2029,1143.193715108235
Schenectady,2030,1171.773557985941
Schoharie,2025,818.5479166666667
Schoharie,2026,839.0116145833333
Schoharie,2027,859.9869049479164
Schoharie,2028,881.4865775716142
Schoharie,2029,903.5237420109046
Schoharie,2030,926.111835561177
Schuyler,2025,746.1999999999999
Schuyler,2026,764.8549999999999
Schuyler,2027,783.9763749999997
Schuyler,2028,803.5757843749997
Schuyler,2029,823.6651789843746
Schuyler,2030,844.2568084589839
Seneca,2025,844.0020833333332
Seneca,2026,865.1021354166666
Seneca,2027,886.729688802083
Seneca,2028,908.897931022135
Seneca,2029,931.6203792976883
Seneca,2030,954.9108887801304
Steuben,2025,853.3124999999999
Steuben,2026,874.6453124999999
Steuben,2027,896.5114453124997
Steuben,2028,918.9242314453121
Steuben,2029,941.8973372314448
Steuben,2030,965.4447706622309
Suffolk,2025,1900.0937499999998
Suffolk,2026,1947.59609375
Suffolk,2027,1996.2859960937494
Suffolk,2028,2046.1931459960929
Suffolk,2029,2097.3479746459952
Suffolk,2030,2149.781674012145
Sullivan,2025,972.6395833333332
Sullivan,2026,996.9555729166666
Sullivan,2027,1021.879462239583
Sullivan,2028,1047.4264487955725
Sullivan,2029,1073.6121100154617
Sullivan,2030,1100.452412765848
Tioga,2025,894.4833333333332
Tioga,2026,916.8454166666666
Tioga,2027,939.766552083333
Tioga,2028,963.2607158854162
Tioga,2029,987.3422337825515
Tioga,2030,1012.0257896271153
Tompkins,2025,1358.6374999999998
Tompkins,2026,1392.6034375
Tompkins,2027,1427.4185234374995
Tompkins,2028,1463.1039865234368
Tompkins,2029,1499.6815861865227
Tompkins,2030,1537.1736258411856
Ulster,2025,1410.14375
Ulster,2026,1445.39734375
Ulster,2027,1481.5322773437495
Ulster,2028,1518.5705842773432
Ulster,2029,1556.5348488842765
Ulster,2030,1595.4482201063834
Warren,2025,1114.2604166666665
Warren,2026,1142.1169270833332
Warren,2027,1170.6698502604163
Warren,2028,1199.9365965169266
Warren,2029,1229.9350114298495
Warren,2030,1260.6833867155958
Washington,2025,1023.20625
Washington,2026,1048.78640625
Washington,2027,1075.0060664062496
Washington,2028,1101.8812180664058
Washington,2029,1129.4282485180659
Washington,2030,1157.6639547310174
Wayne,2025,898.7541666666666
Wayne,2026,921.2230208333333
Wayne,2027,944.2535963541665
Wayne,2028,967.8599362630205
Wayne,2029,992.0564346695959
Wayne,2030,1016.8578455363357
Westchester,2025,2357.8416666666667
Westchester,2026,2416.7877083333333
Westchester,2027,2477.207401041666
Westchester,2028,2539.1375860677076
Westchester,2029,2602.6160257194
Westchester,2030,2667.6814263623846
Wyoming,2025,732.8749999999999
Wyoming,2026,751.196875
Wyoming,2027,769.9767968749998
Wyoming,2028,789.2262167968747
Wyoming,2029,808.9568722167965
Wyoming,2030,829.1807940222163
Yates,2025,783.2708333333333
Yates,2026,802.8526041666665
Yates,2027,822.923919270833
Yates,2028,843.4970172526038
Yates,2029,864.5844426839188
Yates,2030,886.1990537510167
