County,Food,Child Care,Medical,Housing,Transportation,Civic,Internet & Mobile,Other,Required annual income after taxes,Annual taxes,Required annual income before taxes
Sullivan,4074.0,0.0,4104.0,11387.0,10730.0,3535.0,1598.0,4566.0,39995.0,7863.0,47858.0
Tioga,4348.0,0.0,3714.0,10472.0,10705.0,3535.0,1413.0,4566.0,38753.0,7534.0,46287.0
Tompkins,4930.0,0.0,3714.0,15906.0,9773.0,3535.0,1418.0,4566.0,43842.0,8884.0,52727.0
Ulster,4450.0,0.0,4104.0,16509.0,10693.0,3535.0,1450.0,4566.0,45307.0,9273.0,54581.0
Warren,4462.0,0.0,3658.0,13045.0,10658.0,3535.0,1591.0,4566.0,41516.0,8267.0,49782.0
Washington,4530.0,0.0,3658.0,11979.0,11373.0,3535.0,1591.0,4566.0,41233.0,8192.0,49425.0
Wayne,4108.0,0.0,3473.0,10522.0,11604.0,3535.0,1533.0,4566.0,39343.0,7690.0,47033.0
Westchester,4975.0,0.0,4380.0,27604.0,9315.0,3535.0,1377.0,4566.0,55753.0,12058.0,67811.0
Wyoming,4313.0,0.0,3269.0,8580.0,11383.0,3535.0,1431.0,4566.0,37077.0,7089.0,44167.0
Yates,4553.0,0.0,3473.0,9170.0,11819.0,3535.0,1413.0,4566.0,38530.0,7475.0,46005.0
