County,Food,Child Care,Medical,Housing,Transportation,Civic,Internet & Mobile,Other,Required annual income after taxes,Annual taxes,Required annual income before taxes
Queens,"$4,633",$0,"$4,380","$28,178","$6,240","$3,535","$1,534","$4,566","$53,065","$11,332","$64,397"
Rensselaer,"$4,450",$0,"$3,658","$12,366","$10,048","$3,535","$1,516","$4,566","$40,139","$7,902","$48,041"
Richmond,"$4,633",$0,"$4,380","$24,853","$9,242","$3,535","$1,366","$4,566","$52,575","$11,202","$63,777"
Rockland,"$4,473",$0,"$4,380","$26,869","$9,932","$3,535","$1,259","$4,566","$55,013","$11,849","$66,862"
St. Lawrence,"$4,222",$0,"$3,662","$8,724","$10,512","$3,535","$1,498","$4,566","$36,720","$6,994","$43,714"
Saratoga,"$4,736",$0,"$3,658","$14,092","$10,741","$3,535","$1,516","$4,566","$42,844","$8,619","$51,463"
Schenectady,"$4,370",$0,"$3,658","$12,125","$9,963","$3,535","$1,516","$4,566","$39,734","$7,794","$47,528"
Schoharie,"$3,925",$0,"$3,658","$9,583","$11,724","$3,535","$1,565","$4,566","$38,557","$7,482","$46,039"
Schuyler,"$4,234",$0,"$3,714","$8,736","$10,867","$3,535","$1,413","$4,566","$37,066","$7,086","$44,152"
Seneca,"$3,960",$0,"$3,473","$9,881","$10,486","$3,535","$1,533","$4,566","$37,435","$7,184","$44,619"
Steuben,"$4,256",$0,"$3,714","$9,990","$10,292","$3,535","$1,413","$4,566","$37,767","$7,272","$45,039"
Suffolk,"$4,815",$0,"$4,248","$22,245","$11,137","$3,535","$1,537","$4,566","$52,083","$11,071","$63,155"
Sullivan,"$4,074",$0,"$4,104","$11,387","$10,730","$3,535","$1,598","$4,566","$39,995","$7,863","$47,858"
Tioga,"$4,348",$0,"$3,714","$10,472","$10,705","$3,535","$1,413","$4,566","$38,753","$7,534","$46,287"
Tompkins,"$4,930",$0,"$3,714","$15,906","$9,773","$3,535","$1,418","$4,566","$43,842","$8,884","$52,727"
Ulster,"$4,450",$0,"$4,104","$16,509","$10,693","$3,535","$1,450","$4,566","$45,307","$9,273","$54,581"
Warren,"$4,462",$0,"$3,658","$13,045","$10,658","$3,535","$1,591","$4,566","$41,516","$8,267","$49,782"
Washington,"$4,530",$0,"$3,658","$11,979","$11,373","$3,535","$1,591","$4,566","$41,233","$8,192","$49,425"
Wayne,"$4,108",$0,"$3,473","$10,522","$11,604","$3,535","$1,533","$4,566","$39,343","$7,690","$47,033"
Westchester,"$4,975",$0,"$4,380","$27,604","$9,315","$3,535","$1,377","$4,566","$55,753","$12,058","$67,811"
Wyoming,"$4,313",$0,"$3,269","$8,580","$11,383","$3,535","$1,431","$4,566","$37,077","$7,089","$44,167"
Yates,"$4,553",$0,"$3,473","$9,170","$11,819","$3,535","$1,413","$4,566","$38,530","$7,475","$46,005"
