index,NAIC Code ,Company Name ,Calendar Year ,Net Premiums Written
53,19240,Allstate Indemnity Company,2016,289222298
54,19232,Allstate Insurance Company,2016,1165909830
55,36455,Allstate Northbrook Indemnity Company,2016,0
56,17230,Allstate Property and Casualty Insurance Company,2016,257104830
57,37907,Allstate Vehicle and Property Insurance Company,2016,162767990
58,21296,Alterra America Insurance Company,2016,13792596
59,18708,Ambac Assurance Corporation,2016,16686625
60,19100,AMCO Insurance Company,2016,321768
61,12548,American Agri-Business Insurance Company,2016,386598
62,19720,American Alternative Insurance Corporation,2016,83405882
63,21849,American Automobile Insurance Company,2016,20910037
64,10111,American Bankers Insurance Company of Florida,2016,104654928
65,20427,"American Casualty Company of Reading, Pennsylvania",2016,41379315
66,19941,American Commerce Insurance Company,2016,1218062
67,10216,American Contractors Indemnity Company,2016,0
68,38237,American Country Insurance Company,2016,37153316
69,19690,American Economy Insurance Company,2016,4746676
70,37990,American Empire Insurance Company,2016,0
71,23337,American European Insurance Company,2016,4770498
72,23450,American Family Home Insurance Company,2016,28855078
73,24066,American Fire and Casualty Company,2016,16949951
74,26247,American Guarantee and Liability Insurance Company,2016,78807151
75,43494,American Hallmark Insurance Company of Texas,2016,0
76,19380,American Home Assurance Company,2016,96502047
77,21857,American Insurance Company,2016,14679658
78,31895,American Interstate Insurance Company,2016,0
79,15911,American Mining Insurance Company,2016,578271
80,23469,American Modern Home Insurance Company,2016,22618283
81,38652,American Modern Select Insurance Company,2016,2915120
82,12190,American Pet Insurance Company,2016,20317965
83,19615,American Reliable Insurance Company,2016,2629839
84,19631,American Road Insurance Company,2016,6273046
85,42978,American Security Insurance Company,2016,158645334
86,17965,American Sentinel Insurance Company,2016,37332
87,42897,"American Service Insurance Company, Inc.",2016,170932
88,41998,American Southern Home Insurance Company,2016,9116970
89,10235,American Southern Insurance Company,2016,112135
90,19704,American States Insurance Company,2016,111642425
91,13366,"American Steamship Owners Mutual Protection and Indemnity Association, Inc.",2016,95434585
92,31380,American Surety Company,2016,591856
93,16616,American Transit Insurance Company,2016,287051799
94,40142,American Zurich Insurance Company,2016,131091209
95,12504,Ameriprise Insurance Company,2016,26759558
96,19488,Amerisure Insurance Company,2016,739229
97,23396,Amerisure Mutual Insurance Company,2016,1462619
98,11050,Amerisure Partners Insurance Company,2016,0
99,27928,AMEX Assurance Company,2016,25316715
100,42390,AmGUARD Insurance Company,2016,56944050
101,19976,Amica Mutual Insurance Company,2016,148410997
102,12287,Amica Property and Casualty Insurance Company,2016,5803189
103,15954,"AmTrust Insurance Company of Kansas, Inc.",2016,80835379
104,41360,"Arbella Protection Insurance Company, Inc.",2016,0
105,30830,Arch Indemnity Insurance Company,2016,18019143
106,11150,Arch Insurance Company,2016,205830049
107,29114,Arch Mortgage Assurance Company,2016,0
108,18732,Arch Mortgage Guaranty Company,2016,52896
109,40266,Arch Mortgage Insurance Company,2016,4412852
110,10348,Arch Reinsurance Company,2016,0
111,19801,Argonaut Insurance Company,2016,42844201
112,19828,Argonaut-Midwest Insurance Company,2016,203168
113,41459,Armed Forces Insurance Exchange,2016,943647
114,24678,Arrowood Indemnity Company,2016,42230
115,40398,Ashmere Insurance Company,2016,0
116,14042,ASI Select Insurance Corp.,2016,415152
117,43460,Aspen American Insurance Company,2016,121906973
118,21865,Associated Indemnity Corporation,2016,3455933
119,16489,Associated Mutual Insurance Cooperative,2016,10468466
120,30180,Assured Guaranty Corp.,2016,39649403
121,18287,Assured Guaranty Municipal Corp.,2016,82618105
122,17159,Atain Specialty Insurance Company,2016,0
123,20931,Atlanta International Insurance Company,2016,0
124,27154,Atlantic Specialty Insurance Company,2016,105954055
125,22586,Atlantic States Insurance Company,2016,109107
126,25422,"Atradius Trade Credit Insurance, Inc.",2016,13757866
127,10362,Atrium Insurance Corporation,2016,0
128,21202,Auto Club Insurance Association,2016,0
129,19062,"Automobile Insurance Company of Hartford, Connecticut",2016,232348918
130,10367,AVEMCO Insurance Company,2016,974804
131,36579,Aviva Insurance Company of Canada (U.S. Branch),2016,0
132,29530,AXA Art Insurance Corporation,2016,0
133,33022,AXA Insurance Company,2016,34735291
134,37273,AXIS Insurance Company,2016,127899751
135,20370,AXIS Reinsurance Company,2016,1448534
136,24813,Balboa Insurance Company,2016,-13178
137,33162,Bankers Insurance Company,2016,698970
138,18279,Bankers Standard Insurance Company,2016,111039254
139,29513,Bar Plan Mutual Insurance Company,2016,0
140,19763,Bay State Insurance Company,2016,7879138
141,37540,"Beazley Insurance Company, Inc.",2016,38656175
142,21970,Bedivere Insurance Company,2016,6
143,32603,Berkley Insurance Company,2016,65099039
144,38911,Berkley National Insurance Company,2016,7469230
145,29580,Berkley Regional Insurance Company,2016,7217569
146,13070,Berkshire Hathaway Assurance Corporation,2016,2666675
147,10391,Berkshire Hathaway Direct Insurance Company,2016,198424
148,20044,Berkshire Hathaway Homestate Insurance Company,2016,5519951
149,22276,Berkshire Hathaway Specialty Insurance Company,2016,67672099
150,20095,BITCO General Insurance Corporation,2016,364090
151,20109,BITCO National Insurance Company,2016,10592
152,40754,Blue Ridge Indemnity Company,2016,2543601
153,22250,BlueShore Insurance Company,2016,0
154,12965,Bondex Insurance Company,2016,533405
155,10371,Broome Co-operative Insurance Company,2016,7944401
156,13528,Brotherhood Mutual Insurance Company,2016,5666010
157,14380,Build America Mutual Assurance Company,2016,11564781
158,20117,California Casualty Indemnity Exchange,2016,0
159,38865,California Insurance Company,2016,0
160,43800,Callicoon Co-operative Insurance Company,2016,6405812
161,19771,Cambridge Mutual Fire Insurance Company,2016,32908038
162,36340,CAMICO Mutual Insurance Company,2016,1336298
163,12260,"Campmed Casualty & Indemnity Company, Inc.",2016,0
164,10464,Canal Insurance Company,2016,45250
165,10472,Capitol Indemnity Corporation,2016,3170572
166,10510,Carolina Casualty Insurance Company,2016,564731
167,11255,Caterpillar Insurance Company,2016,3591008
168,24503,Catlin Indemnity Company,2016,3585588
169,19518,"Catlin Insurance Company, Inc.",2016,14511874
170,43826,Central Co-operative Insurance Company,2016,8296186
171,20230,Central Mutual Insurance Company,2016,20437717
172,34274,Central States Indemnity Co. of Omaha,2016,1840277
173,34649,Centre Insurance Company,2016,0
174,20710,Century Indemnity Company,2016,0
175,11445,CGB Insurance Company,2016,757314
176,25615,Charter Oak Fire Insurance Company,2016,306113412
177,10372,Chautauqua Patrons Insurance Company,2016,10191482
178,10642,Cherokee Insurance Company,2016,991740
179,29670,Cherry Valley Cooperative Insurance Company,2016,191294
180,22810,Chicago Insurance Company,2016,19368151
181,12777,Chubb Indemnity Insurance Company,2016,160928047
182,10052,Chubb National Insurance Company,2016,124111007
183,10669,Church Insurance Company,2016,0
184,18767,Church Mutual Insurance Company,2016,42640115
185,22004,Cim Insurance Corporation,2016,0
186,28665,Cincinnati Casualty Company,2016,3961533
187,23280,Cincinnati Indemnity Company,2016,5971611
188,10677,Cincinnati Insurance Company,2016,81223843
189,31534,Citizens Insurance Company of America,2016,59853207
190,20532,Clarendon National Insurance Company,2016,0
191,43834,Claverack Cooperative Insurance Company,2016,2817544
192,28860,Clear Blue Insurance Company,2016,20324220
193,10019,Clearwater Select Insurance Company,2016,0
194,33480,Clermont Insurance Company,2016,12231708
195,33421,"Codan Insurance Company, Ltd. ( U.S.Branch )",2016,0
196,31887,Coface North America Insurance Company,2016,15898494
197,36552,Coliseum Reinsurance Company,2016,0
198,34347,Colonial American Casualty and Surety Company,2016,336464
199,10758,Colonial Surety Company,2016,3845169
200,36927,Colony Specialty Insurance Company,2016,1014160
201,19410,Commerce and Industry Insurance Company,2016,13435776
202,10220,Commonwealth Insurance Company of America,2016,0
203,10025,Community Mutual Insurance Company,2016,4396219
204,21989,Compass Insurance Company,2016,0
205,34711,Computer Insurance Company,2016,0
206,32190,Constitution Insurance Company,2016,5260214
207,20443,Continental Casualty Company,2016,507145046
208,28258,Continental Indemnity Company,2016,94565664
209,35289,Continental Insurance Company,2016,44406475
210,10804,Continental Western Insurance Company,2016,12584409
211,37206,Contractors Bonding and Insurance Company,2016,162953
212,10499,CorePointe Insurance Company,2016,924089
213,20990,COUNTRY Mutual Insurance Company,2016,0
214,10022,Countryway Insurance Company,2016,12367480
215,10839,Country-Wide Insurance Company,2016,142365782
216,26492,Courtesy Insurance Company,2016,14248
217,18961,Crestbrook Insurance Company,2016,0
218,31348,Crum & Forster Indemnity Company,2016,9979002
219,10921,CSAA Fire & Casualty Insurance Company,2016,13413454
220,37770,CSAA General Insurance Company,2016,10852701
221,10847,"CUMIS Insurance Society, Inc.",2016,15845647
222,21164,Dairyland Insurance Company,2016,2281646
223,16705,Dealers Assurance Company,2016,3368901
224,42587,Depositors Insurance Company,2016,125656
225,12718,Developers Surety and Indemnity Company,2016,746433
226,42048,Diamond State Insurance Company,2016,3656698
227,36463,Discover Property & Casualty Insurance Company,2016,-19
228,34495,"Doctors Company, an Interinsurance Exchange",2016,329196
229,12502,"Dongbu Insurance Co., Ltd. (U.S. Branch)",2016,38509995
230,13919,Dryden Mutual Insurance Company,2016,62038004
231,13019,Eastern Advantage Assurance Company,2016,37775
232,10724,Eastern Alliance Insurance Company,2016,67618
233,43320,Eastern Mutual Insurance Company,2016,8502612
234,14702,EastGUARD Insurance Company,2016,2201442
235,22926,Economy Fire & Casualty Company,2016,0
236,40649,Economy Premier Assurance Company,2016,24809703
237,21261,Electric Insurance Company,2016,27348967
238,25186,EMC Property & Casualty Company,2016,0
239,21407,EMCASCO Insurance Company,2016,0
240,14051,Empire Bonding & Insurance Company,2016,866155
241,21326,Empire Fire and Marine Insurance Company,2016,24877787
242,21350,Empire Insurance Company,2016,0
243,25402,Employers Assurance Company,2016,2876290
244,11512,Employers Compensation Insurance Company,2016,648450
245,20648,Employers' Fire Insurance Company,2016,-2867
246,21458,Employers Insurance Company of Wausau,2016,16001862
247,21415,Employers Mutual Casualty Company,2016,849415
248,10346,Employers Preferred Insurance Company,2016,2544753
249,11252,Encompass Home and Auto Insurance Company,2016,43510534
250,15130,Encompass Indemnity Company,2016,16248063
251,11251,Encompass Independent Insurance Company,2016,141646
252,10071,Encompass Insurance Company of America,2016,24024031
253,10072,Encompass Property and Casualty Company,2016,7328489
254,10641,Endurance American Insurance Company,2016,121469618
255,11551,Endurance Assurance Corporation,2016,427587
256,10374,Erie and Niagara Insurance Association,2016,70575879
257,26263,Erie Insurance Company,2016,253250556
258,16233,Erie Insurance Company of New York,2016,61799238
259,26830,Erie Insurance Property & Casualty Company,2016,11422343
260,13634,"Essent Guaranty, Inc.",2016,12616704
261,37915,Essentia Insurance Company,2016,20205047
262,25712,Esurance Insurance Company,2016,27882501
263,30210,Esurance Property and Casualty Insurance Company,2016,23454639
264,20516,Euler Hermes North America Insurance Company,2016,33679371
265,10120,Everest National Insurance Company,2016,78676029
266,26921,Everest Reinsurance Company,2016,8413367
267,12750,Evergreen National Indemnity Company,2016,2584432
268,24961,Everspan Financial Guarantee Corp.,2016,0
269,11045,Excelsior Insurance Company,2016,33599280
270,25917,Executive Insurance Company,2016,0
271,35181,Executive Risk Indemnity Inc.,2016,40663095
272,21482,Factory Mutual Insurance Company,2016,90917461
273,35157,Fair American Insurance and Reinsurance Company,2016,9288533
274,35211,Falls Lake General Insurance Company,2016,0
275,31925,Falls Lake National Insurance Company,2016,15604325
276,13803,Farm Family Casualty Insurance Company,2016,146133566
277,11061,Farmers Fire Insurance Company,2016,0
278,21652,Farmers Insurance Exchange,2016,454359
279,10806,Farmers New Century Insurance Company,2016,12952725
280,41483,Farmington Casualty Company,2016,70064340
281,13608,"FDM Preferred Insurance Company, Inc.",2016,7671438
282,20281,Federal Insurance Company,2016,622872852
283,13935,Federated Mutual Insurance Company,2016,25223960
284,11118,Federated Rural Electric Insurance Exchange,2016,336691
285,28304,Federated Service Insurance Company,2016,1642761
286,39306,Fidelity and Deposit Company of Maryland,2016,60111055
287,35386,Fidelity and Guaranty Insurance Company,2016,197284
288,25879,"Fidelity and Guaranty Insurance Underwriters, Inc.",2016,0
289,88625,Fiduciary Insurance Company of America,2016,35110711
290,35009,"Financial Casualty & Surety, Inc.",2016,216357
291,12815,Financial Guaranty Insurance Company,2016,6239156
292,43842,Finger Lakes Fire & Casualty Company,2016,12065172
293,39136,Finial Reinsurance Company,2016,0
294,13610,"Fire Districts Insurance Company, Inc.",2016,5473476
295,37400,"Fire Districts of New York Mutual Insurance Company, Inc.",2016,11988481
296,21873,Fireman's Fund Insurance Company,2016,64518904
297,21784,"Firemen's Insurance Company of Washington, D.C.",2016,1589082
298,37710,First American Property & Casualty Insurance Company,2016,47168
299,34525,First American Specialty Insurance Company,2016,444336
300,29980,First Colonial Insurance Company,2016,189556
301,11177,First Financial Insurance Company,2016,0
302,12150,First Founders Assurance Company,2016,10422
303,33588,First Liberty Insurance Corporation,2016,127228458
304,24724,First National Insurance Company of America,2016,560386
305,35585,Flagship City Insurance Company,2016,6278227
306,33278,Florists' Insurance Company,2016,0
307,13978,Florists' Mutual Insurance Company,2016,3938014
308,11185,"Foremost Insurance Company Grand Rapids, Michigan",2016,52308205
309,11800,Foremost Property and Casualty Insurance Company,2016,4206161
310,41513,Foremost Signature Insurance Company,2016,8966822
311,10801,Fortress Insurance Company,2016,3030483
312,13986,Frankenmuth Mutual Insurance Company,2016,8113
313,22209,Freedom Specialty Insurance Company,2016,28604253
314,26760,Fulmont Mutual Insurance Company,2016,5143176
315,21253,Garrison Property and Casualty Insurance Company,2016,65105276
316,28339,Gateway Insurance Company,2016,0
317,41491,GEICO Casualty Company,2016,1163335
318,35882,GEICO General Insurance Company,2016,2296436319
319,22055,GEICO Indemnity Company,2016,990504588
320,37923,GEICO Marine Insurance Company,2016,12606155
321,24414,General Casualty Company of Wisconsin,2016,25765864
322,24732,General Insurance Company of America,2016,8080247
323,22039,General Reinsurance Corporation,2016,910679
324,20559,General Security Indemnity Company of Arizona,2016,6491132
325,39322,General Security National Insurance Company,2016,812042
326,11967,General Star National Insurance Company,2016,4321373
327,11231,Generali - U.S. Branch,2016,5820487
328,10364,Genesee Patrons Cooperative Insurance Company,2016,5578909
329,38962,Genesis Insurance Company,2016,1737461
330,37095,Genworth Financial Assurance Corporation,2016,0
331,38458,Genworth Mortgage Insurance Corporation,2016,41607659
332,16675,Genworth Mortgage Insurance Corporation of North Carolina,2016,0
333,11092,Global Liberty Insurance Company of New York,2016,31978886
334,21032,GLOBAL Reinsurance Corporation of America,2016,0
335,10709,GoldStreet Insurance Company,2016,0
336,25569,Gotham Insurance Company,2016,22068
337,22063,Government Employees Insurance Company,2016,698699483
338,23809,Granite State Insurance Company,2016,41619638
339,25984,Graphic Arts Mutual Insurance Company,2016,26757914
340,10671,Gray Casualty & Surety Company,2016,0
341,36307,Gray Insurance Company,2016,27101
342,26832,Great American Alliance Insurance Company,2016,23556237
343,26344,Great American Assurance Company,2016,33077333
344,10646,Great American Contemporary Insurance Company,2016,0
345,16691,Great American Insurance Company,2016,97779312
346,22136,Great American Insurance Company of New York,2016,48942122
347,31135,Great American Security Insurance Company,2016,258250
348,33723,Great American Spirit Insurance Company,2016,4498981
349,25224,Great Divide Insurance Company,2016,68224916
350,18694,Great Midwest Insurance Company,2016,0
351,20303,Great Northern Insurance Company,2016,367970567
352,11371,Great West Casualty Company,2016,862718
353,22187,Greater New York Mutual Insurance Company,2016,108236410
354,20680,"Green Mountain Insurance Company, Inc.",2016,0
355,22322,Greenwich Insurance Company,2016,41394108
356,36650,Guarantee Company of North America USA,2016,3441890
357,11398,Guarantee Insurance Company,2016,36766643
358,42803,GuideOne Elite Insurance Company,2016,977049
359,15032,GuideOne Mutual Insurance Company,2016,22991081
360,14559,GuideOne Specialty Mutual Insurance Company,2016,4303329
361,28630,Guilderland Reinsurance Company,2016,0
362,42811,Gulf Underwriters Insurance Company,2016,0
363,34037,Hallmark Insurance Company,2016,501655
364,26611,Hamilton Insurance Company,2016,11003230
365,36064,Hanover American Insurance Company,2016,978243
366,22292,Hanover Insurance Company,2016,142848920
367,26433,Harco National Insurance Company,2016,7373103
368,23582,Harleysville Insurance Company,2016,126024259
369,10674,Harleysville Insurance Company of New York,2016,113926028
370,35696,Harleysville Preferred Insurance Company,2016,47585034
371,26182,Harleysville Worcester Insurance Company,2016,160489206
372,22357,Hartford Accident and Indemnity Company,2016,49374781
373,29424,Hartford Casualty Insurance Company,2016,112774680
374,19682,Hartford Fire Insurance Company,2016,194751753
375,38288,Hartford Insurance Company of Illinois,2016,33330323
376,37478,Hartford Insurance Company of the Midwest,2016,147332671
377,11452,Hartford Steam Boiler Inspection and Insurance Company,2016,4976330
378,29890,Hartford Steam Boiler Inspection and Insurance Company of Connecticut,2016,0
379,30104,Hartford Underwriters Insurance Company,2016,92804240
380,41343,HDI Global Insurance Company,2016,48670621
381,12519,Healthcare Professionals Insurance Company,2016,21112811
382,24309,Hereford Insurance Company,2016,135485932
383,32077,Heritage Casualty Insurance Company,2016,0
384,39527,Heritage Indemnity Company,2016,3590038
385,10200,Hiscox Insurance Company Inc.,2016,47620852
386,14206,Holyoke Mutual Insurance Company in Salem,2016,-2230
387,34452,Homeland Insurance Company of New York,2016,748262
388,10986,Homesite Insurance Company of New York,2016,57392403
389,22578,Horace Mann Insurance Company,2016,5186
390,22756,Horace Mann Property & Casualty Insurance Company,2016,0
391,30317,"Hospitals Insurance Company, Inc.",2016,195731462
392,10069,"Housing Authority Property Insurance, A Mutual Company",2016,4461892
393,11206,"Housing Enterprise Insurance Company, Inc.",2016,625842
394,25054,Hudson Insurance Company,2016,12234705
395,37079,Hudson Specialty Insurance Company,2016,1784966
396,10048,"Hyundai Marine & Fire Insurance Co., Ltd. (U.S. Branch)",2016,24831037
397,29068,IDS Property Casualty Insurance Company,2016,16991507
398,32808,Illinois EMCASCO Insurance Company,2016,0
399,23817,Illinois National Insurance Co.,2016,218463100
400,35408,Imperium Insurance Company,2016,5056919
401,43575,Indemnity Insurance Company of North America,2016,118547313
402,26581,Independence American Insurance Company,2016,2458553
403,14265,Indiana Lumbermens Mutual Insurance Company,2016,2290
404,39497,Infinity Assurance Insurance Company,2016,0
405,11738,Infinity Auto Insurance Company,2016,182949
406,21792,Infinity Casualty Insurance Company,2016,0
407,22268,Infinity Insurance Company,2016,1008561
408,38873,Infinity Security Insurance Company,2016,0
409,20260,Infinity Select Insurance Company,2016,0
410,12599,Infinity Standard Insurance Company,2016,0
411,22195,Insurance Company of Greater New York,2016,50680679
412,22713,Insurance Company of North America,2016,3148048
413,19429,Insurance Company of the State of Pennsylvania,2016,56441601
414,27847,Insurance Company of the West,2016,411293
415,27930,Integon Casualty Insurance Company,2016,2225944
416,29742,Integon National Insurance Company,2016,79988656
417,31488,Integon Preferred Insurance Company,2016,613945
418,14311,Interboro Insurance Company,2016,38871213
419,11592,International Fidelity Insurance Company,2016,9686745
420,10749,Intrepid Insurance Company,2016,0
421,23647,Ironshore Indemnity Inc.,2016,53144335
422,11630,Jefferson Insurance Company,2016,3516561
423,14354,Jewelers Mutual Insurance Company,2016,22400168
424,39004,Kemper Financial Indemnity Company,2016,0
425,10914,Kemper Independence Insurance Company,2016,92580091
426,10088,Kensington Insurance Company,2016,14578409
427,10885,Key Risk Insurance Company,2016,0
428,13668,Kingstone Insurance Company,2016,103098200
429,37800,"Kookmin Best Insurance Co., Ltd. (US Branch)",2016,18598952
430,20621,Lamorak Insurance Company,2016,-3543
431,38148,Lancer Indemnity Company,2016,9781305
432,26077,Lancer Insurance Company,2016,62382703
433,10380,Leatherstocking Cooperative Insurance Company,2016,18034295
434,16023,Lemonade Insurance Company,2016,179715
435,37940,Lexington National Insurance Corporation,2016,276354
436,42404,Liberty Insurance Corporation,2016,220202452
437,19917,"Liberty Insurance Underwriters, Inc.",2016,266902771
438,23035,Liberty Mutual Fire Insurance Company,2016,549861033
439,23043,Liberty Mutual Insurance Company,2016,66493968
440,10748,Livingston Mutual Insurance Company,2016,4683922
441,36447,LM General Insurance Company,2016,290375412
442,33600,LM Insurance Corporation,2016,77090404
443,32352,LM Property and Casualty Insurance Company,2016,0
444,30449,Madison Mutual Insurance Company,2016,5149726
445,11054,"Maiden Reinsurance North America, Inc.",2016,0
446,34460,Maidstone Insurance Company,2016,37896164
447,29939,Main Street America Assurance Company,2016,123414405
448,13026,Main Street America Protection Insurance Company,2016,1242909
449,11149,Maine Employers' Mutual Insurance Company,2016,1322502
450,36897,Manufacturers Alliance Insurance Company,2016,12224970
451,23876,Mapfre Insurance Company,2016,0
452,34789,21st Century Centennial Insurance Company,2016,7504351
453,25275,MAPFRE Insurance Company of New York,2016,69274114
454,28932,Markel American Insurance Company,2016,41128775
455,10829,Markel Global Reinsurance Company,2016,0
456,38970,Markel Insurance Company,2016,30974879
457,22306,Massachusetts Bay Insurance Company,2016,58017592
458,10784,Maxum Casualty Insurance Company,2016,500
459,36030,Maya Assurance Company,2016,20499744
460,12041,MBIA Insurance Corporation,2016,38768277
461,34231,Medical Liability Mutual Insurance Company,2016,394431549
462,11843,Medical Protective Company,2016,0
463,22241,MEDMARC Casualty Insurance Company,2016,212439
464,14164,MEMIC Casualty Company,2016,9120752
465,11030,MEMIC Indemnity Company,2016,45023669
466,22454,Mendakota Insurance Company,2016,0
467,33650,Mendota Insurance Company,2016,0
468,31968,Merastar Insurance Company,2016,232668
469,14478,Mercer Insurance Company,2016,127090
470,43540,"Mercer Insurance Company of New Jersey, Inc.",2016,219646
471,14494,Merchants Bonding Company (Mutual),2016,1803670
472,23329,Merchants Mutual Insurance Company,2016,128086524
473,11595,"Merchants National Bonding, Inc.",2016,380125
474,12901,Merchants Preferred Insurance Company,2016,47782782
475,11908,Mercury Casualty Company,2016,47923020
476,23353,Meridian Security Insurance Company,2016,0
477,24821,Meritplan Insurance Company,2016,-16183
478,19798,Merrimack Mutual Fire Insurance Company,2016,53730269
479,40169,Metropolitan Casualty Insurance Company,2016,66423041
480,25321,Metropolitan Direct Property and Casualty Insurance Company,2016,0
481,39950,Metropolitan General Insurance Company,2016,120869
482,34339,Metropolitan Group Property and Casualty Insurance Company,2016,95784938
483,26298,Metropolitan Property and Casualty Insurance Company,2016,138261906
484,22594,MGIC Assurance Corporation,2016,0
485,10682,MGIC Credit Assurance Corporation,2016,5
486,18740,MGIC Indemnity Corporation,2016,1869226
487,38660,MIC General Insurance Corporation,2016,52382241
488,38601,MIC Property and Casualty Insurance Corporation,2016,52153
489,14508,Michigan Millers Mutual Insurance Company,2016,13658316
490,21687,Mid-Century Insurance Company,2016,46102951
491,23434,Middlesex Insurance Company,2016,160731
492,14532,Middlesex Mutual Assurance Company,2016,11437863
493,35866,Mid-Hudson Co-operative Insurance Company,2016,13759103
494,26835,Midrox Insurance Company,2016,5115894
495,26818,Midstate Mutual Insurance Company,2016,12839406
496,20451,MidStates ReInsurance Corporation,2016,0
497,27138,Midvale Indemnity Company,2016,565282
498,23612,Midwest Employers Casualty Company,2016,6014606
499,23515,Midwestern Indemnity Company,2016,0
500,10811,Millville Insurance Company of New York,2016,1109146
501,26662,Milwaukee Casualty Insurance Company,2016,28225209
502,42234,Minnesota Lawyers Mutual Insurance Company,2016,0
503,20362,Mitsui Sumitomo Insurance Company of America,2016,26852083
504,22551,Mitsui Sumitomo Insurance USA Inc.,2016,11055810
505,15997,MMG Insurance Company,2016,0
506,29858,Mortgage Guaranty Insurance Corporation,2016,35219580
507,16187,Mosaic Insurance Company,2016,0
508,13331,Motorists Commercial Mutual Insurance Company,2016,10168
509,22012,Motors Insurance Corporation,2016,3086139
510,26522,Mount Vernon Fire Insurance Company,2016,12024361
511,14420,Mount Vernon Specialty Insurance Company,2016,0
512,10205,Mountain Valley Indemnity Company,2016,78560011
513,10227,"Munich Reinsurance America, Inc.",2016,0
514,13559,Municipal Assurance Corp.,2016,943170
515,43001,Narragansett Bay Insurance Company,2016,165944403
516,23663,National American Insurance Company,2016,250691
517,11991,National Casualty Company,2016,77144497
518,10379,Hartwick Town Ins. Co.,2016,4249
519,10243,National Continental Insurance Company,2016,13490889
520,16217,National Farmers Union Property and Casualty Company,2016,3320
521,15679,National Fire and Indemnity Exchange,2016,383112
522,20478,National Fire Insurance Company of Hartford,2016,38429668
523,42447,National General Assurance Company,2016,5482582
524,23728,National General Insurance Company,2016,10731970
525,11044,"National General Insurance Online, Inc.",2016,74515197
526,32620,National Interstate Insurance Company,2016,32813009
527,20052,National Liability & Fire Insurance Company,2016,51549089
528,13695,National Mortgage Insurance Corporation,2016,2596376
529,23825,National Public Finance Guarantee Corporation,2016,27105
530,22608,National Specialty Insurance Company,2016,1040206
531,21881,National Surety Corporation,2016,48640047
532,19445,"National Union Fire Insurance Company of Pittsburgh, Pa.",2016,562703672
533,26093,Nationwide Affinity Insurance Company of America,2016,152687788
534,28223,Nationwide Agribusiness Insurance Company,2016,20689524
535,10723,Nationwide Assurance Company,2016,4282626
536,23760,Nationwide General Insurance Company,2016,38351830
537,25453,Nationwide Insurance Company of America,2016,59342895
538,23779,Nationwide Mutual Fire Insurance Company,2016,92666395
